number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.8149372478772813,2026-09-21 14:22:48.150832,2026-09-21 14:23:00.155953,0 days 00:00:12.005121,1.0,6,1000,3.0,0.03,1.0,"{'iterations': 1000, 'learning_rate': 0.03, 'depth': 6, 'l2_leaf_reg': 3, 'random_strength': 1.0, 'bagging_temperature': 1.0}",,COMPLETE
1,0.8063192735111985,2026-09-21 14:23:00.156178,2026-09-21 14:23:12.040594,0 days 00:00:11.884416,0.6458941130666561,6,1000,5.115750615935456,0.0852084800119005,2.1182739966945237,,,COMPLETE
2,0.7999122636414492,2026-09-21 14:23:12.040799,2026-09-21 14:23:29.593996,0 days 00:00:17.553197,0.5288949197529045,8,800,3.154052496956796,0.14461835703563006,3.958625190413323,,,COMPLETE
3,0.8071433248522697,2026-09-21 14:23:29.594177,2026-09-21 14:23:36.499951,0 days 00:00:06.905774,0.832619845547938,3,1000,1.2982485087605053,0.1600401649423368,0.1010919872016286,,,COMPLETE
4,0.8005478182877533,2026-09-21 14:23:36.500174,2026-09-21 14:24:08.450673,0 days 00:00:31.950499,0.7805291762864555,8,1300,10.957948710049177,0.13549145341210658,2.3073968112646592,,,COMPLETE
5,0.8101176374808737,2026-09-21 14:24:08.450879,2026-09-21 14:24:11.623256,0 days 00:00:03.172377,0.4146619399905236,3,400,16.945039949066025,0.0680074425948075,2.6092416087503585,,,COMPLETE
6,0.8105839323513964,2026-09-21 14:24:11.623451,2026-09-21 14:24:17.232502,0 days 00:00:05.609051,0.6176354970758771,5,600,5.489712718496441,0.10169538705876567,0.09394900218177571,,,COMPLETE
7,0.8076928124217979,2026-09-21 14:24:17.232539,2026-09-21 14:24:40.770046,0 days 00:00:23.537507,0.43703195379934145,8,1000,7.710253564584053,0.06348185887563147,1.79753950286893,,,COMPLETE
8,0.8159265945612086,2026-09-21 14:24:40.770273,2026-09-21 14:24:58.696920,0 days 00:00:17.926647,0.1289262976548533,7,1200,7.456241820636357,0.011977195682764619,1.0519128053692044,,,COMPLETE
9,0.8159018372092595,2026-09-21 14:24:58.697164,2026-09-21 14:25:07.705477,0 days 00:00:09.008313,0.10204481074802807,6,700,3.720777713148019,0.029730254214469846,4.941869190296131,,,COMPLETE
10,0.810040420776818,2026-09-21 14:25:07.705661,2026-09-21 14:25:13.888229,0 days 00:00:06.182568,0.2318687965992804,4,700,9.503944599217737,0.010510298980112952,0.6719429323464547,,"{""bagging_temperature"": 0.2318687965992804, ""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 9.503944599217737, ""learning_rate"": 0.010510298980112952, ""random_strength"": 0.6719429323464547}",COMPLETE
