number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.8103435110758429,2026-09-21 14:49:36.052364,2026-09-21 14:49:40.279556,0 days 00:00:04.227192,1.0,0.0,0.05,5,1.0,300,1.0,1.0,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'gamma': 0.0}",,COMPLETE
1,0.8115198981006989,2026-09-21 14:49:40.309200,2026-09-21 14:49:44.382697,0 days 00:00:04.073497,0.7521258791466593,4.4588650039103985,0.0852084800119005,6,5.115750615935456,600,0.05627932047415167,0.7118273996694524,,,COMPLETE
2,0.8016794140707632,2026-09-21 14:49:44.383116,2026-09-21 14:49:58.534045,0 days 00:00:14.150929,0.9479176468048627,0.43564649850770354,0.03154052496956797,7,4.876499175835441,1000,0.0019237305096546497,0.7840222805469661,,,COMPLETE
3,0.8079588801559812,2026-09-21 14:49:58.534300,2026-09-21 14:49:59.182700,0 days 00:00:00.648400,0.8594109949517065,3.902645881432277,0.12113325685093146,7,13.549145341210659,100,0.07013219779945795,0.989309171116382,,,COMPLETE
4,0.8071497383915901,2026-09-21 14:49:59.182746,2026-09-21 14:50:00.418009,0 days 00:00:01.235263,0.5902633579933665,3.871168447171083,0.0680074425948075,3,16.945039949066025,200,0.011434638743472197,0.7609241608750359,,,COMPLETE
5,0.8040293959595524,2026-09-21 14:50:00.418156,2026-09-21 14:50:02.276862,0 days 00:00:01.858706,0.7318537978123298,3.409101495517417,0.054897127184964416,2,6.361540670994398,500,5.9565160187105715,0.8060478613612108,,,COMPLETE
6,0.8096533204110345,2026-09-21 14:50:02.276953,2026-09-21 14:50:05.923106,0 days 00:00:03.646153,0.7694465087327116,0.6446314882742665,0.03703323754998522,6,1.197719568276461,400,0.0069427294924301495,0.8333833577228338,,,COMPLETE
7,0.8128070057268394,2026-09-21 14:50:05.923807,2026-09-21 14:50:08.532677,0 days 00:00:02.608870,0.37143136752361966,0.8065475894249813,0.029730254214469846,5,3.720777713148019,350,0.006847105576684045,0.9941869190296131,,,COMPLETE
8,0.8093521159301023,2026-09-21 14:50:08.532862,2026-09-21 14:50:11.717163,0 days 00:00:03.184301,0.37726259881501356,0.690914756743069,0.021356986471473192,5,2.079720759461046,700,0.42200573971950167,0.5794847918227599,,,COMPLETE
9,0.8098700136003238,2026-09-21 14:50:11.717252,2026-09-21 14:50:14.027827,0 days 00:00:02.310575,0.36726888552577414,2.343256008238508,0.03018022736113482,7,1.3376166697408782,250,8.050778165087026,0.918972453749402,,,COMPLETE
10,0.8100964509027561,2026-09-21 14:50:14.027917,2026-09-21 14:50:17.079329,0 days 00:00:03.051412,0.39515805345090044,2.3495265002036296,0.01772488054778136,6,14.193834293234506,400,0.007433053301458351,0.8753017030971304,,"{""colsample_bytree"": 0.39515805345090044, ""gamma"": 2.3495265002036296, ""learning_rate"": 0.01772488054778136, ""max_depth"": 6, ""min_child_weight"": 14.193834293234506, ""n_estimators"": 400, ""reg_lambda"": 0.007433053301458351, ""subsample"": 0.8753017030971304}",COMPLETE
11,0.8116443045321802,2026-09-21 14:50:17.079481,2026-09-21 14:50:19.528641,0 days 00:00:02.449160,0.5882643222229955,1.246765341295183,0.02835618263724768,4,3.3717565526979545,600,0.007762230873246752,0.877023439102028,,"{""colsample_bytree"": 0.5882643222229955, ""gamma"": 1.246765341295183, ""learning_rate"": 0.02835618263724768, ""max_depth"": 4, ""min_child_weight"": 3.3717565526979545, ""n_estimators"": 600, ""reg_lambda"": 0.007762230873246752, ""subsample"": 0.877023439102028}",COMPLETE
12,0.8041901976640051,2026-09-21 14:50:19.528696,2026-09-21 14:50:20.903225,0 days 00:00:01.374529,0.5566840216360339,0.19326485028013052,0.023661775894080132,3,3.4427841991920007,200,0.0026655807590403296,0.9961355297941125,,"{""colsample_bytree"": 0.5566840216360339, ""gamma"": 0.19326485028013052, ""learning_rate"": 0.023661775894080132, ""max_depth"": 3, ""min_child_weight"": 3.4427841991920007, ""n_estimators"": 200, ""reg_lambda"": 0.0026655807590403296, ""subsample"": 0.9961355297941125}",COMPLETE
13,0.8076998688558874,2026-09-21 14:50:20.903776,2026-09-21 14:50:23.743513,0 days 00:00:02.839737,0.331515984951436,0.8706589678474375,0.03055421866121379,3,6.057737806113189,550,0.003436341188608856,0.9592370376930851,,"{""colsample_bytree"": 0.331515984951436, ""gamma"": 0.8706589678474375, ""learning_rate"": 0.03055421866121379, ""max_depth"": 3, ""min_child_weight"": 6.057737806113189, ""n_estimators"": 550, ""reg_lambda"": 0.003436341188608856, ""subsample"": 0.9592370376930851}",COMPLETE
14,0.8094309914806092,2026-09-21 14:50:23.743740,2026-09-21 14:50:24.838213,0 days 00:00:01.094473,0.47042345265940994,1.3867130911708738,0.059519640265404704,5,7.608758410982165,150,0.006129941473024005,0.9247917853240762,,"{""colsample_bytree"": 0.47042345265940994, ""gamma"": 1.3867130911708738, ""learning_rate"": 0.059519640265404704, ""max_depth"": 5, ""min_child_weight"": 7.608758410982165, ""n_estimators"": 150, ""reg_lambda"": 0.006129941473024005, ""subsample"": 0.9247917853240762}",COMPLETE
15,0.8070725855065461,2026-09-21 14:50:24.838259,2026-09-21 14:50:26.341388,0 days 00:00:01.503129,0.3704048437162121,1.5798856855169117,0.014493653236329717,6,4.1658959123262225,200,0.01995578779249979,0.9674321233289573,,"{""colsample_bytree"": 0.3704048437162121, ""gamma"": 1.5798856855169117, ""learning_rate"": 0.014493653236329717, ""max_depth"": 6, ""min_child_weight"": 4.1658959123262225, ""n_estimators"": 200, ""reg_lambda"": 0.01995578779249979, ""subsample"": 0.9674321233289573}",COMPLETE
16,0.8094498404529471,2026-09-21 14:50:26.341468,2026-09-21 14:50:27.799986,0 days 00:00:01.458518,0.4863279874864335,1.985925132943359,0.03396799996899258,5,2.6234415144776015,400,0.0046726553655362804,0.9446671982010127,,"{""colsample_bytree"": 0.4863279874864335, ""gamma"": 1.985925132943359, ""learning_rate"": 0.03396799996899258, ""max_depth"": 5, ""min_child_weight"": 2.6234415144776015, ""n_estimators"": 400, ""reg_lambda"": 0.0046726553655362804, ""subsample"": 0.9446671982010127}",COMPLETE
17,0.7999365673173976,2026-09-21 14:50:27.800041,2026-09-21 14:50:29.274893,0 days 00:00:01.474852,0.5135837179005724,2.1885287060453185,0.01846882114829784,2,3.502727826739757,450,0.11604638520834783,0.9187617150857139,,"{""colsample_bytree"": 0.5135837179005724, ""gamma"": 2.1885287060453185, ""learning_rate"": 0.01846882114829784, ""max_depth"": 2, ""min_child_weight"": 3.502727826739757, ""n_estimators"": 450, ""reg_lambda"": 0.11604638520834783, ""subsample"": 0.9187617150857139}",COMPLETE
18,0.8134154331429265,2026-09-21 14:50:29.274969,2026-09-21 14:50:31.631632,0 days 00:00:02.356663,0.5936238090003546,1.3728383083815738,0.023967339729516673,6,3.9484159407886144,500,0.031641130715574284,0.9909652650960985,,"{""colsample_bytree"": 0.5936238090003546, ""gamma"": 1.3728383083815738, ""learning_rate"": 0.023967339729516673, ""max_depth"": 6, ""min_child_weight"": 3.9484159407886144, ""n_estimators"": 500, ""reg_lambda"": 0.031641130715574284, ""subsample"": 0.9909652650960985}",COMPLETE
19,0.8128282117601323,2026-09-21 14:50:31.631675,2026-09-21 14:50:35.917121,0 days 00:00:04.285446,0.6682750133537858,0.5277306314488588,0.04448374231457706,5,6.35448333180739,450,0.12374591204524954,0.9297492910321637,,"{""colsample_bytree"": 0.6682750133537858, ""gamma"": 0.5277306314488588, ""learning_rate"": 0.04448374231457706, ""max_depth"": 5, ""min_child_weight"": 6.35448333180739, ""n_estimators"": 450, ""reg_lambda"": 0.12374591204524954, ""subsample"": 0.9297492910321637}",COMPLETE
20,0.8113710255155265,2026-09-21 14:50:35.917308,2026-09-21 14:50:42.023108,0 days 00:00:06.105800,0.6820602616282487,1.347409450859296,0.04386523282473916,6,10.581353815071619,750,0.12056993427383347,0.9695993737511183,,"{""colsample_bytree"": 0.6820602616282487, ""gamma"": 1.347409450859296, ""learning_rate"": 0.04386523282473916, ""max_depth"": 6, ""min_child_weight"": 10.581353815071619, ""n_estimators"": 750, ""reg_lambda"": 0.12056993427383347, ""subsample"": 0.9695993737511183}",COMPLETE
21,0.809137360006487,2026-09-21 14:50:42.023365,2026-09-21 14:50:45.514899,0 days 00:00:03.491534,0.3321231332379879,1.2708633378423262,0.028721730510673348,6,5.993060990512637,550,0.03811402212836145,0.9739694340096576,,"{""colsample_bytree"": 0.3321231332379879, ""gamma"": 1.2708633378423262, ""learning_rate"": 0.028721730510673348, ""max_depth"": 6, ""min_child_weight"": 5.993060990512637, ""n_estimators"": 550, ""reg_lambda"": 0.03811402212836145, ""subsample"": 0.9739694340096576}",COMPLETE
22,0.8111856294399983,2026-09-21 14:50:45.515352,2026-09-21 14:50:50.443013,0 days 00:00:04.927661,0.3332225856625733,1.4953518229949205,0.02713068552284403,6,1.9537957516207076,300,0.0022948335853067996,0.9504480618357547,,"{""colsample_bytree"": 0.3332225856625733, ""gamma"": 1.4953518229949205, ""learning_rate"": 0.02713068552284403, ""max_depth"": 6, ""min_child_weight"": 1.9537957516207076, ""n_estimators"": 300, ""reg_lambda"": 0.0022948335853067996, ""subsample"": 0.9504480618357547}",COMPLETE
23,0.8072472052266628,2026-09-21 14:50:50.443196,2026-09-21 14:50:52.800077,0 days 00:00:02.356881,0.458944196997496,0.8659672334377203,0.03807215190399418,4,1.9887117883291858,250,0.022679518934378935,0.9506793855963276,,"{""colsample_bytree"": 0.458944196997496, ""gamma"": 0.8659672334377203, ""learning_rate"": 0.03807215190399418, ""max_depth"": 4, ""min_child_weight"": 1.9887117883291858, ""n_estimators"": 250, ""reg_lambda"": 0.022679518934378935, ""subsample"": 0.9506793855963276}",COMPLETE
24,0.8115719014658804,2026-09-21 14:50:52.800917,2026-09-21 14:51:01.082838,0 days 00:00:08.281921,0.7569493132065261,1.3058835406445781,0.017588668813995116,5,4.381301642492841,500,0.04812565030305617,0.9861062967992684,,"{""colsample_bytree"": 0.7569493132065261, ""gamma"": 1.3058835406445781, ""learning_rate"": 0.017588668813995116, ""max_depth"": 5, ""min_child_weight"": 4.381301642492841, ""n_estimators"": 500, ""reg_lambda"": 0.04812565030305617, ""subsample"": 0.9861062967992684}",COMPLETE
25,0.8135565600714416,2026-09-21 14:51:01.083138,2026-09-21 14:51:06.344968,0 days 00:00:05.261830,0.6700448667908425,2.3642126630620335,0.02759222649725067,7,5.186947456829439,450,0.09470622826391527,0.9555370732285267,,"{""colsample_bytree"": 0.6700448667908425, ""gamma"": 2.3642126630620335, ""learning_rate"": 0.02759222649725067, ""max_depth"": 7, ""min_child_weight"": 5.186947456829439, ""n_estimators"": 450, ""reg_lambda"": 0.09470622826391527, ""subsample"": 0.9555370732285267}",COMPLETE
26,0.8114683089160287,2026-09-21 14:51:06.345603,2026-09-21 14:51:15.604307,0 days 00:00:09.258704,0.8665168942182644,1.8605760789078678,0.022718133167296532,7,5.11553580734885,400,0.18994972412600408,0.9772644756391298,,"{""colsample_bytree"": 0.8665168942182644, ""gamma"": 1.8605760789078678, ""learning_rate"": 0.022718133167296532, ""max_depth"": 7, ""min_child_weight"": 5.11553580734885, ""n_estimators"": 400, ""reg_lambda"": 0.18994972412600408, ""subsample"": 0.9772644756391298}",COMPLETE
27,0.8116773492999224,2026-09-21 14:51:15.604559,2026-09-21 14:51:19.702005,0 days 00:00:04.097446,0.7290561670439064,0.3381120362886254,0.038020215608578385,5,4.846267602477716,300,0.028606354246674594,0.9468590835811754,,"{""colsample_bytree"": 0.7290561670439064, ""gamma"": 0.3381120362886254, ""learning_rate"": 0.038020215608578385, ""max_depth"": 5, ""min_child_weight"": 4.846267602477716, ""n_estimators"": 300, ""reg_lambda"": 0.028606354246674594, ""subsample"": 0.9468590835811754}",COMPLETE
28,0.8111841370929941,2026-09-21 14:51:19.702269,2026-09-21 14:51:23.055746,0 days 00:00:03.353477,0.6323481149901717,0.14949786894815098,0.06194691716771061,4,4.92069989855447,400,0.2063151148129297,0.941994285992415,,"{""colsample_bytree"": 0.6323481149901717, ""gamma"": 0.14949786894815098, ""learning_rate"": 0.06194691716771061, ""max_depth"": 4, ""min_child_weight"": 4.92069989855447, ""n_estimators"": 400, ""reg_lambda"": 0.2063151148129297, ""subsample"": 0.941994285992415}",COMPLETE
29,0.8122963801163394,2026-09-21 14:51:23.055834,2026-09-21 14:51:26.224375,0 days 00:00:03.168541,0.6430914362661784,1.7567238326386754,0.0224219474121714,6,2.0711534873057285,400,0.017889283775176113,0.9658627833300286,,"{""colsample_bytree"": 0.6430914362661784, ""gamma"": 1.7567238326386754, ""learning_rate"": 0.0224219474121714, ""max_depth"": 6, ""min_child_weight"": 2.0711534873057285, ""n_estimators"": 400, ""reg_lambda"": 0.017889283775176113, ""subsample"": 0.9658627833300286}",COMPLETE
30,0.8120328129256604,2026-09-21 14:51:26.224420,2026-09-21 14:51:28.494500,0 days 00:00:02.270080,0.6377850232064817,2.5443971452450125,0.026660047552927068,7,4.915374733417519,350,0.10434242215252215,0.9051253239462733,,"{""colsample_bytree"": 0.6377850232064817, ""gamma"": 2.5443971452450125, ""learning_rate"": 0.026660047552927068, ""max_depth"": 7, ""min_child_weight"": 4.915374733417519, ""n_estimators"": 350, ""reg_lambda"": 0.10434242215252215, ""subsample"": 0.9051253239462733}",COMPLETE
31,0.8094464150499785,2026-09-21 14:51:28.494660,2026-09-21 14:51:33.485217,0 days 00:00:04.990557,0.39933235598625905,1.044015038501981,0.03161777243248723,5,3.3492607259078655,350,0.007377671027150555,0.9494620721998195,,"{""colsample_bytree"": 0.39933235598625905, ""gamma"": 1.044015038501981, ""learning_rate"": 0.03161777243248723, ""max_depth"": 5, ""min_child_weight"": 3.3492607259078655, ""n_estimators"": 350, ""reg_lambda"": 0.007377671027150555, ""subsample"": 0.9494620721998195}",COMPLETE
32,0.8110745267206573,2026-09-21 14:51:33.485293,2026-09-21 14:51:37.646308,0 days 00:00:04.161015,0.5114701218917521,0.3302436535553239,0.021009349899899346,5,3.3418977369449396,400,0.01017260103577314,0.9382365657752192,,"{""colsample_bytree"": 0.5114701218917521, ""gamma"": 0.3302436535553239, ""learning_rate"": 0.021009349899899346, ""max_depth"": 5, ""min_child_weight"": 3.3418977369449396, ""n_estimators"": 400, ""reg_lambda"": 0.01017260103577314, ""subsample"": 0.9382365657752192}",COMPLETE
33,0.8139443342158497,2026-09-21 14:51:37.646485,2026-09-21 14:51:40.122294,0 days 00:00:02.475809,0.6062613518715823,1.0192973088463924,0.046544312748192665,5,8.835014682105985,400,0.07952916495267799,0.9052148692274855,,"{""colsample_bytree"": 0.6062613518715823, ""gamma"": 1.0192973088463924, ""learning_rate"": 0.046544312748192665, ""max_depth"": 5, ""min_child_weight"": 8.835014682105985, ""n_estimators"": 400, ""reg_lambda"": 0.07952916495267799, ""subsample"": 0.9052148692274855}",COMPLETE
34,0.8088329522201028,2026-09-21 14:51:40.122342,2026-09-21 14:51:42.830023,0 days 00:00:02.707681,0.6050586043777318,0.2298935368980244,0.05966323009053005,5,3.1113670118598704,500,0.050384444168991044,0.9104230369407258,,"{""colsample_bytree"": 0.6050586043777318, ""gamma"": 0.2298935368980244, ""learning_rate"": 0.05966323009053005, ""max_depth"": 5, ""min_child_weight"": 3.1113670118598704, ""n_estimators"": 500, ""reg_lambda"": 0.050384444168991044, ""subsample"": 0.9104230369407258}",COMPLETE
35,0.8099141798357469,2026-09-21 14:51:42.830452,2026-09-21 14:51:44.570208,0 days 00:00:01.739756,0.6699662075770474,0.9453595443585519,0.05180798761642127,4,9.779433527378174,300,0.2465272621554215,0.9058414900443247,,"{""colsample_bytree"": 0.6699662075770474, ""gamma"": 0.9453595443585519, ""learning_rate"": 0.05180798761642127, ""max_depth"": 4, ""min_child_weight"": 9.779433527378174, ""n_estimators"": 300, ""reg_lambda"": 0.2465272621554215, ""subsample"": 0.9058414900443247}",COMPLETE
36,0.8091257940497691,2026-09-21 14:51:44.570291,2026-09-21 14:51:47.809513,0 days 00:00:03.239222,0.5937091631890534,0.7725362679349954,0.027653806799616182,6,5.884187096738138,450,0.6448531065665876,0.9249813193922017,,"{""colsample_bytree"": 0.5937091631890534, ""gamma"": 0.7725362679349954, ""learning_rate"": 0.027653806799616182, ""max_depth"": 6, ""min_child_weight"": 5.884187096738138, ""n_estimators"": 450, ""reg_lambda"": 0.6448531065665876, ""subsample"": 0.9249813193922017}",COMPLETE
